site_id,timestamp,biomass_density_g_L,biomass_produced_kg,water_temp_C,pH,dissolved_O2_mg_L,dissolved_CO2_mg_L,turbidity_NTU,light_PAR,harvested_g_L
site-a,2026-08-01T23:00:00Z,0.5762,0.0,28.04,9.4,6.82,21.9,36.0,0.0,0.0
site-a,2026-08-02T00:00:00Z,0.5762,0.0,27.09,9.35,7.01,20.97,37.8,0.0,0.0
site-a,2026-08-02T01:00:00Z,0.5762,0.0,25.88,9.41,6.66,21.82,39.4,0.0,0.0
site-a,2026-08-02T02:00:00Z,0.5762,0.0,25.61,9.32,6.82,21.77,38.9,0.0,0.0
site-a,2026-08-02T03:00:00Z,0.5762,0.0,25.1,9.42,6.47,22.8,39.4,0.0,0.0
site-a,2026-08-02T04:00:00Z,0.5762,0.0,25.95,9.32,6.68,22.0,37.4,0.0,0.0
site-a,2026-08-02T05:00:00Z,0.5762,0.0,26.15,9.33,6.75,21.76,37.9,0.0,0.0
site-a,2026-08-02T06:00:00Z,0.5788,37.6805,27.56,9.74,9.87,14.94,39.6,367.4,0.0
site-a,2026-08-02T07:00:00Z,0.5824,53.1631,28.19,9.81,10.85,13.19,39.3,807.7,0.0
site-a,2026-08-02T08:00:00Z,0.5864,57.4417,29.76,9.86,11.31,12.54,40.3,1205.2,0.0
site-a,2026-08-02T09:00:00Z,0.5907,61.8634,31.44,9.9,11.38,12.94,39.5,1538.6,0.0
site-a,2026-08-02T10:00:00Z,0.5946,57.8015,32.13,9.88,11.22,13.27,39.1,1790.3,0.0
site-a,2026-08-02T11:00:00Z,0.5988,59.8521,34.12,9.83,10.33,14.35,39.4,1946.9,0.0
site-a,2026-08-02T12:00:00Z,0.603,61.6286,34.5,9.88,10.55,13.52,40.3,2000.0,0.0
site-a,2026-08-02T13:00:00Z,0.607,57.2879,35.47,9.84,10.64,13.3,38.8,1946.9,0.0
site-a,2026-08-02T14:00:00Z,0.6111,59.4034,36.48,9.83,11.2,12.34,42.3,1790.3,0.0
site-a,2026-08-02T15:00:00Z,0.6154,63.1871,36.81,9.91,11.2,12.35,39.7,1538.6,0.0
site-a,2026-08-02T16:00:00Z,0.6198,64.1721,36.39,9.86,11.08,12.43,36.9,1205.2,0.0
site-a,2026-08-02T17:00:00Z,0.6242,63.0256,35.9,9.87,10.84,13.34,41.5,807.7,0.0
site-a,2026-08-02T18:00:00Z,0.6274,46.969,34.55,9.72,9.87,14.37,40.3,367.4,0.0
site-a,2026-08-02T19:00:00Z,0.6274,0.0,33.9,9.34,6.65,21.97,40.9,0.0,0.0
site-a,2026-08-02T20:00:00Z,0.6274,0.0,32.68,9.36,6.49,22.33,42.2,0.0,0.0
site-a,2026-08-02T21:00:00Z,0.6274,0.0,30.72,9.35,6.88,22.08,42.1,0.0,0.0
site-a,2026-08-02T22:00:00Z,0.6274,0.0,29.66,9.37,6.66,21.25,40.8,0.0,0.0
site-a,2026-08-02T23:00:00Z,0.6274,0.0,27.9,9.31,6.75,22.35,41.9,0.0,0.0
site-a,2026-08-03T00:00:00Z,0.6274,0.0,27.2,9.37,6.89,21.75,42.2,0.0,0.0
site-a,2026-08-03T01:00:00Z,0.6274,0.0,26.1,9.38,6.86,21.99,40.6,0.0,0.0
site-a,2026-08-03T02:00:00Z,0.6274,0.0,25.5,9.35,6.67,21.94,40.5,0.0,0.0
site-a,2026-08-03T03:00:00Z,0.6274,0.0,25.42,9.33,6.74,21.94,39.8,0.0,0.0
site-a,2026-08-03T04:00:00Z,0.6274,0.0,25.71,9.33,6.97,22.24,39.5,0.0,0.0
site-a,2026-08-03T05:00:00Z,0.6274,0.0,26.38,9.39,7.13,22.67,40.4,0.0,0.0
site-a,2026-08-03T06:00:00Z,0.63,37.2109,27.15,9.76,9.87,15.62,44.2,362.1,0.0
site-a,2026-08-03T07:00:00Z,0.6336,52.5019,28.32,9.82,10.85,13.49,42.3,803.6,0.0
site-a,2026-08-03T08:00:00Z,0.6376,57.2098,29.9,9.92,10.98,13.47,41.7,1202.3,0.0
site-a,2026-08-03T09:00:00Z,0.6417,60.5011,30.85,9.96,11.1,12.36,41.8,1536.9,0.0
site-a,2026-08-03T10:00:00Z,0.6463,65.7836,32.3,9.87,10.96,12.88,41.5,1789.5,0.0
site-a,2026-08-03T11:00:00Z,0.6501,55.0237,33.9,9.89,10.52,13.13,43.3,1946.7,0.0
site-a,2026-08-03T12:00:00Z,0.6541,58.6409,34.79,9.81,10.19,13.5,43.8,2000.0,0.0
site-a,2026-08-03T13:00:00Z,0.6583,60.4528,35.71,9.81,10.69,14.46,41.9,1946.7,0.0
site-a,2026-08-03T14:00:00Z,0.6629,66.3032,36.29,9.86,10.73,12.86,43.7,1789.5,0.0
site-a,2026-08-03T15:00:00Z,0.6678,71.8589,36.51,9.88,11.21,12.86,42.6,1536.9,0.0
site-a,2026-08-03T16:00:00Z,0.6723,64.5854,36.19,9.88,10.92,13.18,41.4,1202.3,0.0
site-a,2026-08-03T17:00:00Z,0.6767,63.7121,35.71,9.87,11.12,13.36,42.6,803.6,0.0
site-a,2026-08-03T18:00:00Z,0.6795,40.5808,35.26,9.74,9.96,15.6,44.2,362.1,0.0
site-a,2026-08-03T19:00:00Z,0.6795,0.0,33.96,9.35,6.9,22.58,43.9,0.0,0.0
site-a,2026-08-03T20:00:00Z,0.6795,0.0,32.24,9.35,6.91,22.18,42.7,0.0,0.0
site-a,2026-08-03T21:00:00Z,0.6795,0.0,31.04,9.35,6.78,21.89,45.0,0.0,0.0
site-a,2026-08-03T22:00:00Z,0.6795,0.0,29.28,9.4,7.13,22.17,44.3,0.0,0.0
site-a,2026-08-03T23:00:00Z,0.6795,0.0,28.14,9.35,6.56,22.56,43.8,0.0,0.0
site-a,2026-08-04T00:00:00Z,0.6795,0.0,27.3,9.35,7.09,21.49,45.0,0.0,0.0
site-a,2026-08-04T01:00:00Z,0.6795,0.0,26.42,9.4,6.96,22.09,44.6,0.0,0.0
site-a,2026-08-04T02:00:00Z,0.6795,0.0,26.03,9.3,7.25,22.09,42.7,0.0,0.0
site-a,2026-08-04T03:00:00Z,0.6795,0.0,25.83,9.3,6.77,21.29,41.7,0.0,0.0
site-a,2026-08-04T04:00:00Z,0.6795,0.0,25.86,9.34,6.97,22.15,40.1,0.0,0.0
site-a,2026-08-04T05:00:00Z,0.6795,0.0,26.61,9.38,6.89,22.52,42.5,0.0,0.0
site-a,2026-08-04T06:00:00Z,0.6819,35.4615,26.94,9.79,9.86,15.17,44.7,356.7,0.0
site-a,2026-08-04T07:00:00Z,0.6852,48.4843,28.31,9.85,10.77,13.5,43.1,799.5,0.0
site-a,2026-08-04T08:00:00Z,0.689,54.7529,29.4,9.9,11.18,12.77,45.0,1199.4,0.0
site-a,2026-08-04T09:00:00Z,0.6931,58.618,31.28,9.9,11.36,12.1,43.0,1535.2,0.0
site-a,2026-08-04T10:00:00Z,0.6974,62.5993,32.09,9.88,10.69,13.01,43.8,1788.7,0.0
site-a,2026-08-04T11:00:00Z,0.7014,57.6221,33.81,9.87,10.57,14.23,45.1,1946.5,0.0
site-a,2026-08-04T12:00:00Z,0.7053,56.8947,34.78,9.8,10.76,12.84,45.7,2000.0,0.0
site-a,2026-08-04T13:00:00Z,0.7093,57.9401,35.51,9.87,10.62,13.93,45.1,1946.5,0.0
site-a,2026-08-04T14:00:00Z,0.7138,65.9885,36.6,9.87,11.16,12.63,43.9,1788.7,0.0
site-a,2026-08-04T15:00:00Z,0.7184,66.9588,36.58,9.93,11.23,12.58,44.7,1535.2,0.0
site-a,2026-08-04T16:00:00Z,0.7228,62.9687,36.62,9.92,11.36,13.35,44.5,1199.4,0.0
site-a,2026-08-04T17:00:00Z,0.7265,53.9902,36.0,9.84,10.97,13.53,43.9,799.5,0.0
site-a,2026-08-04T18:00:00Z,0.7297,45.9704,34.97,9.76,9.76,15.52,44.4,356.7,0.0
site-a,2026-08-04T19:00:00Z,0.7297,0.0,33.29,9.41,6.81,22.01,44.4,0.0,0.0
site-a,2026-08-04T20:00:00Z,0.7297,0.0,32.46,9.35,7.18,23.05,43.7,0.0,0.0
site-a,2026-08-04T21:00:00Z,0.7297,0.0,31.22,9.35,6.8,22.15,44.2,0.0,0.0
site-a,2026-08-04T22:00:00Z,0.7297,0.0,29.78,9.33,6.58,22.35,45.7,0.0,0.0
site-a,2026-08-04T23:00:00Z,0.7297,0.0,28.56,9.35,6.73,22.96,44.0,0.0,0.0
site-a,2026-08-05T00:00:00Z,0.7297,0.0,26.79,9.37,6.63,22.58,43.5,0.0,0.0
site-a,2026-08-05T01:00:00Z,0.7297,0.0,26.25,9.27,6.46,22.1,44.6,0.0,0.0
site-a,2026-08-05T02:00:00Z,0.7297,0.0,25.58,9.36,6.59,21.61,45.5,0.0,0.0
site-a,2026-08-05T03:00:00Z,0.7297,0.0,25.66,9.35,6.91,21.71,44.3,0.0,0.0
site-a,2026-08-05T04:00:00Z,0.7297,0.0,25.91,9.32,6.66,21.46,47.2,0.0,0.0
site-a,2026-08-05T05:00:00Z,0.7297,0.0,25.97,9.34,6.72,21.73,45.0,0.0,0.0
site-a,2026-08-05T06:00:00Z,0.732,33.6162,27.05,9.7,9.96,16.75,44.2,351.2,0.0
site-a,2026-08-05T07:00:00Z,0.7354,49.4728,28.15,9.88,10.7,13.87,45.1,795.2,0.0
site-a,2026-08-05T08:00:00Z,0.7392,55.0397,29.42,9.88,11.12,12.74,44.0,1196.5,0.0
site-a,2026-08-05T09:00:00Z,0.7432,58.3462,30.68,9.88,11.31,12.39,45.5,1533.4,0.0
site-a,2026-08-05T10:00:00Z,0.7474,60.6572,32.5,9.88,10.98,13.02,46.9,1787.9,0.0
site-a,2026-08-05T11:00:00Z,0.7515,58.9043,33.19,9.87,10.41,13.1,45.0,1946.2,0.0
site-a,2026-08-05T12:00:00Z,0.7547,46.9012,35.09,9.83,10.36,13.8,45.0,2000.0,0.0
site-a,2026-08-05T13:00:00Z,0.7586,56.0011,35.86,9.79,10.68,14.04,45.5,1946.2,0.0
site-a,2026-08-05T14:00:00Z,0.7626,59.0544,36.43,9.85,11.12,13.37,45.9,1787.9,0.0
site-a,2026-08-05T15:00:00Z,0.7669,62.2355,36.62,9.9,11.41,13.0,46.2,1533.4,0.0
site-a,2026-08-05T16:00:00Z,0.771,59.2276,36.66,9.87,11.2,12.53,47.5,1196.5,0.0
site-a,2026-08-05T17:00:00Z,0.7748,54.0973,35.75,9.79,10.46,13.31,45.8,795.2,0.0
site-a,2026-08-05T18:00:00Z,0.7776,40.9894,34.98,9.71,10.14,15.66,47.6,351.2,0.0
site-a,2026-08-05T19:00:00Z,0.7776,0.0,33.79,9.34,6.98,22.67,44.4,0.0,0.0
site-a,2026-08-05T20:00:00Z,0.7776,0.0,32.27,9.33,6.97,22.14,47.0,0.0,0.0
site-a,2026-08-05T21:00:00Z,0.7776,0.0,31.16,9.38,6.92,22.51,45.6,0.0,0.0
site-a,2026-08-05T22:00:00Z,0.7776,0.0,29.65,9.36,6.44,21.65,48.6,0.0,0.0
site-a,2026-08-05T23:00:00Z,0.7776,0.0,28.08,9.34,6.82,22.93,46.2,0.0,0.0
site-a,2026-08-06T00:00:00Z,0.7776,0.0,26.85,9.29,6.75,22.51,46.4,0.0,0.0
site-a,2026-08-06T01:00:00Z,0.7776,0.0,26.85,9.3,6.86,22.03,45.3,0.0,0.0
site-a,2026-08-06T02:00:00Z,0.7776,0.0,25.61,9.36,6.78,22.14,45.9,0.0,0.0
site-a,2026-08-06T03:00:00Z,0.7776,0.0,25.02,9.37,6.79,21.91,46.6,0.0,0.0
site-a,2026-08-06T04:00:00Z,0.7776,0.0,25.4,9.38,6.73,22.44,45.6,0.0,0.0
site-a,2026-08-06T05:00:00Z,0.7776,0.0,26.29,9.33,6.74,21.77,47.1,0.0,0.0
site-a,2026-08-06T06:00:00Z,0.78,35.5026,27.72,9.7,9.48,16.42,47.3,345.6,0.0
site-a,2026-08-06T07:00:00Z,0.7833,46.8642,28.21,9.84,10.93,14.01,46.4,790.9,0.0
site-a,2026-08-06T08:00:00Z,0.7868,51.7942,29.5,9.97,11.26,12.83,44.3,1193.4,0.0
site-a,2026-08-06T09:00:00Z,0.7908,57.1255,30.85,9.94,11.24,11.37,47.5,1531.5,0.0
site-a,2026-08-06T10:00:00Z,0.7947,56.9391,32.23,9.82,10.89,13.17,47.7,1787.0,0.0
site-a,2026-08-06T11:00:00Z,0.7985,54.7396,33.85,9.83,10.83,13.78,46.9,1946.0,0.0
site-a,2026-08-06T12:00:00Z,0.802,51.2639,34.44,9.85,10.3,14.23,46.2,2000.0,0.0
site-a,2026-08-06T13:00:00Z,0.8055,50.411,36.06,9.84,10.55,13.99,43.7,1946.0,0.0
site-a,2026-08-06T14:00:00Z,0.8099,64.3851,36.65,9.87,10.98,13.49,49.9,1787.0,0.0
site-a,2026-08-06T15:00:00Z,0.814,58.4748,36.46,9.88,11.53,11.86,48.7,1531.5,0.0
site-a,2026-08-06T16:00:00Z,0.8178,56.096,36.38,9.89,10.87,12.43,46.8,1193.4,0.0
site-a,2026-08-06T17:00:00Z,0.8214,51.558,35.39,9.86,10.59,13.2,50.5,790.9,0.0
site-a,2026-08-06T18:00:00Z,0.8241,39.3792,35.11,9.74,9.78,15.48,49.2,345.6,0.0
site-a,2026-08-06T19:00:00Z,0.8241,0.0,34.04,9.35,7.12,21.98,48.4,0.0,0.0
site-a,2026-08-06T20:00:00Z,0.8241,0.0,32.48,9.38,6.93,21.74,49.5,0.0,0.0
site-a,2026-08-06T21:00:00Z,0.8241,0.0,31.28,9.35,6.87,22.17,48.9,0.0,0.0
site-a,2026-08-06T22:00:00Z,0.8241,0.0,29.44,9.3,6.69,22.91,51.7,0.0,0.0
site-a,2026-08-06T23:00:00Z,0.8241,0.0,27.99,9.37,6.76,22.04,48.2,0.0,0.0
site-a,2026-08-07T00:00:00Z,0.8241,0.0,26.98,9.34,6.91,21.88,47.9,0.0,0.0
site-a,2026-08-07T01:00:00Z,0.8241,0.0,26.43,9.3,6.49,21.96,48.9,0.0,0.0
site-a,2026-08-07T02:00:00Z,0.8241,0.0,25.51,9.38,6.89,22.13,48.4,0.0,0.0
site-a,2026-08-07T03:00:00Z,0.8241,0.0,25.25,9.32,7.06,21.24,47.3,0.0,0.0
site-a,2026-08-07T04:00:00Z,0.8241,0.0,25.85,9.3,6.7,22.15,47.5,0.0,0.0
site-a,2026-08-07T05:00:00Z,0.8241,0.0,26.67,9.36,6.8,22.2,48.4,0.0,0.0
site-a,2026-08-07T06:00:00Z,0.8262,30.8771,27.31,9.77,9.92,15.72,47.5,340.0,0.0
site-a,2026-08-07T07:00:00Z,0.8293,45.0939,27.99,9.8,10.95,13.21,48.4,786.5,0.0
site-a,2026-08-07T08:00:00Z,0.8325,45.6437,29.36,9.88,11.13,12.69,47.2,1190.3,0.0
site-a,2026-08-07T09:00:00Z,0.8364,57.3143,30.82,9.91,11.12,12.53,49.8,1529.7,0.0
site-a,2026-08-07T10:00:00Z,0.8404,57.4532,32.91,9.88,11.25,13.02,48.1,1786.1,0.0
site-a,2026-08-07T11:00:00Z,0.8441,52.9611,33.84,9.85,10.49,14.05,49.6,1945.8,0.0
site-a,2026-08-07T12:00:00Z,0.8477,52.5204,34.98,9.79,10.68,13.99,49.1,2000.0,0.0
site-a,2026-08-07T13:00:00Z,0.851,47.5055,35.75,9.84,10.7,13.11,50.4,1945.8,0.0
site-a,2026-08-07T14:00:00Z,0.8547,53.7908,36.36,9.85,10.7,13.66,47.7,1786.1,0.0
site-a,2026-08-07T15:00:00Z,0.8587,58.2944,36.33,9.9,11.46,13.29,48.2,1529.7,0.0
site-a,2026-08-07T16:00:00Z,0.8625,54.7908,36.01,9.86,10.78,13.08,50.2,1190.3,0.0
site-a,2026-08-07T17:00:00Z,0.8661,52.1092,35.95,9.85,10.73,13.87,47.5,786.5,0.0
site-a,2026-08-07T18:00:00Z,0.8687,38.382,35.34,9.7,9.88,15.82,49.3,340.0,0.0
site-a,2026-08-07T19:00:00Z,0.8687,0.0,33.74,9.34,7.11,21.23,50.9,0.0,0.0
site-a,2026-08-07T20:00:00Z,0.8687,0.0,32.37,9.33,7.06,22.04,50.7,0.0,0.0
site-a,2026-08-07T21:00:00Z,0.8687,0.0,30.74,9.37,7.02,21.92,51.7,0.0,0.0
site-a,2026-08-07T22:00:00Z,0.8687,0.0,29.49,9.37,7.03,21.78,47.8,0.0,0.0
site-a,2026-08-07T23:00:00Z,0.8687,0.0,27.89,9.33,6.91,21.63,48.7,0.0,0.0
site-a,2026-08-08T00:00:00Z,0.8687,0.0,27.28,9.41,7.15,21.86,52.0,0.0,0.0
site-a,2026-08-08T01:00:00Z,0.8687,0.0,26.46,9.34,6.87,22.46,49.1,0.0,0.0
site-a,2026-08-08T02:00:00Z,0.8687,0.0,25.7,9.34,6.93,21.5,51.4,0.0,0.0
site-a,2026-08-08T03:00:00Z,0.8687,0.0,25.4,9.38,6.77,21.6,50.5,0.0,0.0
site-a,2026-08-08T04:00:00Z,0.8687,0.0,25.86,9.31,7.07,21.13,50.7,0.0,0.0
site-a,2026-08-08T05:00:00Z,0.8687,0.0,26.01,9.36,6.77,21.18,50.9,0.0,0.0
site-a,2026-08-08T06:00:00Z,0.8708,29.8314,27.01,9.7,10.23,15.37,50.2,334.2,0.0
site-a,2026-08-08T07:00:00Z,0.8736,40.953,27.98,9.8,10.91,12.89,47.4,781.9,0.0
site-a,2026-08-08T08:00:00Z,0.8772,51.9949,29.17,9.87,10.84,12.59,50.3,1187.2,0.0
site-a,2026-08-08T09:00:00Z,0.8811,56.7771,31.38,9.9,11.34,13.01,51.3,1527.8,0.0
site-a,2026-08-08T10:00:00Z,0.8845,50.1925,32.27,9.83,10.94,12.66,51.2,1785.3,0.0
site-a,2026-08-08T11:00:00Z,0.888,50.1895,33.51,9.83,10.75,14.01,51.2,1945.6,0.0
site-a,2026-08-08T12:00:00Z,0.8912,46.6245,34.49,9.78,10.61,14.09,48.4,2000.0,0.0
site-a,2026-08-08T13:00:00Z,0.8945,47.4378,35.47,9.79,10.43,13.4,51.3,1945.6,0.0
site-a,2026-08-08T14:00:00Z,0.8977,47.1272,36.33,9.9,11.13,13.02,50.8,1785.3,0.0
site-a,2026-08-08T15:00:00Z,0.902,61.5079,36.22,9.89,11.07,12.45,48.6,1527.8,0.0
site-a,2026-08-08T16:00:00Z,0.9057,53.6717,36.28,9.84,11.2,12.26,52.7,1187.2,0.0
site-a,2026-08-08T17:00:00Z,0.9092,50.9053,36.2,9.82,10.75,13.24,52.2,781.9,0.0
site-a,2026-08-08T18:00:00Z,0.9117,36.9105,34.93,9.72,9.93,15.74,49.9,334.2,0.0
site-a,2026-08-08T19:00:00Z,0.9117,0.0,34.17,9.35,6.7,22.58,49.2,0.0,0.0
site-a,2026-08-08T20:00:00Z,0.9117,0.0,32.32,9.36,6.84,21.92,51.9,0.0,0.0
site-a,2026-08-08T21:00:00Z,0.9117,0.0,31.2,9.34,6.82,22.15,51.5,0.0,0.0
site-a,2026-08-08T22:00:00Z,0.9117,0.0,29.41,9.36,6.64,21.62,54.6,0.0,0.0
site-a,2026-08-08T23:00:00Z,0.9117,0.0,28.18,9.35,6.29,21.39,52.9,0.0,0.0
site-a,2026-08-09T00:00:00Z,0.9117,0.0,26.95,9.31,7.08,21.73,49.9,0.0,0.0
site-a,2026-08-09T01:00:00Z,0.9117,0.0,26.01,9.33,6.71,21.86,51.3,0.0,0.0
site-a,2026-08-09T02:00:00Z,0.9117,0.0,25.66,9.34,6.95,21.29,51.2,0.0,0.0
site-a,2026-08-09T03:00:00Z,0.9117,0.0,25.48,9.41,6.7,21.7,52.0,0.0,0.0
site-a,2026-08-09T04:00:00Z,0.9117,0.0,25.32,9.31,6.82,22.29,52.0,0.0,0.0
site-a,2026-08-09T05:00:00Z,0.9117,0.0,26.24,9.33,6.71,22.42,52.4,0.0,0.0
site-a,2026-08-09T06:00:00Z,0.9137,27.9342,27.0,9.78,9.7,14.91,53.3,328.3,0.0
site-a,2026-08-09T07:00:00Z,0.9164,38.9695,28.17,9.86,10.42,13.72,52.3,777.4,0.0
site-a,2026-08-09T08:00:00Z,0.9194,43.5861,29.93,9.89,11.15,12.54,54.3,1184.0,0.0
site-a,2026-08-09T09:00:00Z,0.9229,51.2857,31.11,9.88,11.03,12.84,51.8,1525.9,0.0
site-a,2026-08-09T10:00:00Z,0.9264,50.7169,32.37,9.82,11.22,12.53,54.4,1784.4,0.0
site-a,2026-08-09T11:00:00Z,0.9295,45.2155,34.01,9.87,10.53,13.89,54.9,1945.3,0.0
site-a,2026-08-09T12:00:00Z,0.9328,47.0384,34.77,9.89,10.42,14.4,51.2,2000.0,0.0
site-a,2026-08-09T13:00:00Z,0.9357,42.4299,35.79,9.84,10.96,14.22,54.7,1945.3,0.0
site-a,2026-08-09T14:00:00Z,0.9389,45.8257,36.4,9.88,11.14,13.21,53.2,1784.4,0.0
site-a,2026-08-09T15:00:00Z,0.9424,51.439,36.76,9.94,11.48,12.85,52.9,1525.9,0.0
site-a,2026-08-09T16:00:00Z,0.9455,44.9421,36.59,9.89,10.93,13.02,53.2,1184.0,0.0
site-a,2026-08-09T17:00:00Z,0.9485,43.7744,35.49,9.84,10.82,13.1,53.9,777.4,0.0
site-a,2026-08-09T18:00:00Z,0.9508,32.8487,34.96,9.68,9.72,15.75,52.9,328.3,0.0
site-a,2026-08-09T19:00:00Z,0.9508,0.0,33.38,9.35,6.6,22.4,50.4,0.0,0.0
site-a,2026-08-09T20:00:00Z,0.9508,0.0,32.61,9.34,6.96,22.58,52.8,0.0,0.0
site-a,2026-08-09T21:00:00Z,0.9508,0.0,31.01,9.34,6.68,22.4,53.2,0.0,0.0
site-a,2026-08-09T22:00:00Z,0.9508,0.0,29.55,9.33,7.03,21.65,54.0,0.0,0.0
site-a,2026-08-09T23:00:00Z,0.9508,0.0,28.36,9.35,6.66,21.74,54.1,0.0,0.0
site-a,2026-08-10T00:00:00Z,0.9508,0.0,27.56,9.3,6.79,23.03,55.3,0.0,0.0
site-a,2026-08-10T01:00:00Z,0.9508,0.0,26.84,9.36,6.75,22.17,53.1,0.0,0.0
site-a,2026-08-10T02:00:00Z,0.9508,0.0,25.85,9.35,6.33,22.65,50.8,0.0,0.0
site-a,2026-08-10T03:00:00Z,0.9508,0.0,26.23,9.35,6.9,21.95,52.5,0.0,0.0
site-a,2026-08-10T04:00:00Z,0.9508,0.0,25.4,9.37,7.12,22.26,50.7,0.0,0.0
site-a,2026-08-10T05:00:00Z,0.9508,0.0,25.95,9.34,6.72,21.67,53.7,0.0,0.0
site-a,2026-08-10T06:00:00Z,0.9525,25.0806,27.29,9.68,9.93,15.59,51.4,322.3,0.0
site-a,2026-08-10T07:00:00Z,0.9551,37.6978,28.11,9.82,10.55,13.58,54.2,772.7,0.0
site-a,2026-08-10T08:00:00Z,0.9583,45.8288,29.56,9.87,11.4,13.44,53.3,1180.7,0.0
site-a,2026-08-10T09:00:00Z,0.9613,43.3539,30.68,9.93,11.44,12.34,53.2,1523.9,0.0
site-a,2026-08-10T10:00:00Z,0.9644,45.1589,32.53,9.87,11.13,13.67,52.7,1783.5,0.0
site-a,2026-08-10T11:00:00Z,0.9675,44.8564,34.16,9.83,10.39,13.08,54.8,1945.1,0.0
site-a,2026-08-10T12:00:00Z,0.9703,40.7137,34.41,9.84,10.72,13.41,54.8,2000.0,0.0
site-a,2026-08-10T13:00:00Z,0.973,40.008,35.57,9.81,10.79,14.55,56.3,1945.1,0.0
site-a,2026-08-10T14:00:00Z,0.9762,45.3983,36.6,9.84,11.09,12.92,53.5,1783.5,0.0
site-a,2026-08-10T15:00:00Z,0.9794,47.0074,36.76,9.91,11.23,13.48,56.5,1523.9,0.0
site-a,2026-08-10T16:00:00Z,0.9823,41.501,36.95,9.85,11.19,13.09,55.9,1180.7,0.0
site-a,2026-08-10T17:00:00Z,0.9851,41.6835,35.74,9.89,10.77,13.79,53.2,772.7,0.0
site-a,2026-08-10T18:00:00Z,0.9871,28.3586,34.55,9.67,9.74,15.88,53.1,322.3,0.0
site-a,2026-08-10T19:00:00Z,0.9871,0.0,33.52,9.42,7.15,21.66,53.4,0.0,0.0
site-a,2026-08-10T20:00:00Z,0.9871,0.0,32.73,9.34,6.8,22.27,53.6,0.0,0.0
site-a,2026-08-10T21:00:00Z,0.9871,0.0,30.73,9.34,6.93,22.59,55.3,0.0,0.0
site-a,2026-08-10T22:00:00Z,0.9871,0.0,29.69,9.36,6.96,22.82,53.1,0.0,0.0
site-a,2026-08-10T23:00:00Z,0.9871,0.0,27.7,9.39,7.05,22.81,52.3,0.0,0.0
site-a,2026-08-11T00:00:00Z,0.9871,0.0,27.11,9.31,6.81,22.12,53.6,0.0,0.0
site-a,2026-08-11T01:00:00Z,0.9871,0.0,26.53,9.38,6.68,21.43,51.5,0.0,0.0
site-a,2026-08-11T02:00:00Z,0.9871,0.0,25.9,9.36,6.72,21.29,53.5,0.0,0.0
